Address,restaurantNumber,restaurantName,Item Name,Item Type,Item Price,Item Delivery Price,Protein
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Kids Build Your Own,KidsBYO,5.6,7.3,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Sofritas Kids Build Your Own,KidsBYO,5.6,7.3,Sofritas
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Kids Build Your Own,KidsBYO,5.6,7.3,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Guacamole Kids Build Your Own,KidsBYO,5.6,7.3,Guacamole
3561 W 11400 S,4198,South Jordan,Queso Blanco Kids Build Your Own,KidsBYO,5.6,7.3,Queso Blanco
3561 W 11400 S,4198,South Jordan,Cheese Only Kids Quesadilla,KidsQuesadilla,4.4,5.7,Cheese Only
3561 W 11400 S,4198,South Jordan,Chicken Kids Quesadilla,KidsQuesadilla,4.95,6.45,Chicken
3561 W 11400 S,4198,South Jordan,Steak Kids Quesadilla,KidsQuesadilla,4.95,6.45,Steak
3561 W 11400 S,4198,South Jordan,Carnitas Kids Quesadilla,KidsQuesadilla,4.95,6.45,Carnitas
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Kids Quesadilla,KidsQuesadilla,4.95,6.45,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Sofritas Kids Quesadilla,KidsQuesadilla,4.95,6.45,Sofritas
3561 W 11400 S,4198,South Jordan,Guacamole Kids Quesadilla,KidsQuesadilla,4.95,6.45,Guacamole
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Kids Quesadilla,KidsQuesadilla,4.95,6.45,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Carnitas Quesadilla,Quesadilla,10.3,13.4,Carnitas
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Quesadilla,Quesadilla,11.4,14.8,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Sofritas Quesadilla,Quesadilla,9.65,12.55,Sofritas
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Quesadilla,Quesadilla,10.15,13.2,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Chicken Quesadilla,Quesadilla,9.65,12.55,Chicken
3561 W 11400 S,4198,South Jordan,Cheese Only Quesadilla,Quesadilla,9.65,12.55,Cheese Only
3561 W 11400 S,4198,South Jordan,Steak Quesadilla,Quesadilla,11.4,14.8,Steak
6924 S Park Centre Dr,954,Fort Union,Carnitas Burrito,Burrito,10.1,13.15,Carnitas
6924 S Park Centre Dr,954,Fort Union,Veggie Burrito,Burrito,9.45,12.3,Veggie
6924 S Park Centre Dr,954,Fort Union,Beef Barbacoa Burrito,Burrito,11.2,14.55,Beef Barbacoa
6924 S Park Centre Dr,954,Fort Union,Steak Burrito,Burrito,11.2,14.55,Steak
6924 S Park Centre Dr,954,Fort Union,Chicken Burrito,Burrito,9.45,12.3,Chicken
6924 S Park Centre Dr,954,Fort Union,Sofritas Burrito,Burrito,9.45,12.3,Sofritas
6924 S Park Centre Dr,954,Fort Union,Chicken al Pastor Burrito,Burrito,9.95,12.95,Chicken al Pastor
6924 S Park Centre Dr,954,Fort Union,Steak Taco,Tacos,11.2,14.55,Steak
6924 S Park Centre Dr,954,Fort Union,Chicken Taco,Tacos,9.45,12.3,Chicken
6924 S Park Centre Dr,954,Fort Union,Carnitas Taco,Tacos,10.1,13.15,Carnitas
6924 S Park Centre Dr,954,Fort Union,Veggie Taco,Tacos,9.45,12.3,Veggie
6924 S Park Centre Dr,954,Fort Union,Beef Barbacoa Taco,Tacos,11.2,14.55,Beef Barbacoa
6924 S Park Centre Dr,954,Fort Union,Sofritas Taco,Tacos,9.45,12.3,Sofritas
6924 S Park Centre Dr,954,Fort Union,Chicken al Pastor Taco,Tacos,3.6,4.7,Chicken al Pastor
6924 S Park Centre Dr,954,Fort Union,Chicken al Pastor Taco,Tacos,9.95,12.95,Chicken al Pastor
6924 S Park Centre Dr,954,Fort Union,Veggie Taco,Tacos,3.4,4.4,Veggie
6924 S Park Centre Dr,954,Fort Union,Carnitas Taco,Tacos,3.6,4.7,Carnitas
6924 S Park Centre Dr,954,Fort Union,Beef Barbacoa Taco,Tacos,4.05,5.25,Beef Barbacoa
6924 S Park Centre Dr,954,Fort Union,Chicken Taco,Tacos,3.4,4.4,Chicken
6924 S Park Centre Dr,954,Fort Union,Steak Taco,Tacos,4.05,5.25,Steak
6924 S Park Centre Dr,954,Fort Union,Sofritas Taco,Tacos,3.4,4.4,Sofritas
6924 S Park Centre Dr,954,Fort Union,Steak Bowl,Bowl,11.2,14.55,Steak
6924 S Park Centre Dr,954,Fort Union,Chicken Bowl,Bowl,9.45,12.3,Chicken
6924 S Park Centre Dr,954,Fort Union,Carnitas Bowl,Bowl,10.1,13.15,Carnitas
6924 S Park Centre Dr,954,Fort Union,Veggie Bowl,Bowl,9.45,12.3,Veggie
6924 S Park Centre Dr,954,Fort Union,Beef Barbacoa Bowl,Bowl,11.2,14.55,Beef Barbacoa
6924 S Park Centre Dr,954,Fort Union,Chicken al Pastor Bowl,Bowl,9.95,12.95,Chicken al Pastor
6924 S Park Centre Dr,954,Fort Union,Sofritas Bowl,Bowl,9.45,12.3,Sofritas
6924 S Park Centre Dr,954,Fort Union,Steak Salad,Salad,11.2,14.55,Steak
6924 S Park Centre Dr,954,Fort Union,Chicken Salad,Salad,9.45,12.3,Chicken
6924 S Park Centre Dr,954,Fort Union,Carnitas Salad,Salad,10.1,13.15,Carnitas
6924 S Park Centre Dr,954,Fort Union,Beef Barbacoa Salad,Salad,11.2,14.55,Beef Barbacoa
6924 S Park Centre Dr,954,Fort Union,Veggie Salad,Salad,9.45,12.3,Veggie
6924 S Park Centre Dr,954,Fort Union,Sofritas Salad,Salad,9.45,12.3,Sofritas
6924 S Park Centre Dr,954,Fort Union,Chicken al Pastor Salad,Salad,9.95,12.95,Chicken al Pastor
6924 S Park Centre Dr,954,Fort Union,Cheese Kids Build Your Own,KidsBYO,5.7,7.4,Cheese
6924 S Park Centre Dr,954,Fort Union,Chicken Kids Build Your Own,KidsBYO,5.7,7.4,Chicken
6924 S Park Centre Dr,954,Fort Union,Steak Kids Build Your Own,KidsBYO,5.7,7.4,Steak
6924 S Park Centre Dr,954,Fort Union,Carnitas Kids Build Your Own,KidsBYO,5.7,7.4,Carnitas
6924 S Park Centre Dr,954,Fort Union,Beef Barbacoa Kids Build Your Own,KidsBYO,5.7,7.4,Beef Barbacoa
6924 S Park Centre Dr,954,Fort Union,Sofritas Kids Build Your Own,KidsBYO,5.7,7.4,Sofritas
6924 S Park Centre Dr,954,Fort Union,Chicken al Pastor Kids Build Your Own,KidsBYO,5.7,7.4,Chicken al Pastor
6924 S Park Centre Dr,954,Fort Union,Guacamole Kids Build Your Own,KidsBYO,5.7,7.4,Guacamole
6924 S Park Centre Dr,954,Fort Union,Queso Blanco Kids Build Your Own,KidsBYO,5.7,7.4,Queso Blanco
6924 S Park Centre Dr,954,Fort Union,Cheese Only Kids Quesadilla,KidsQuesadilla,4.6,6,Cheese Only
6924 S Park Centre Dr,954,Fort Union,Chicken Kids Quesadilla,KidsQuesadilla,5,6.5,Chicken
